country,dir,time,number
Kyrgyzstan,Export,1/1/2021,881.809335
Kyrgyzstan,Export,2/1/2021,588.921541
Kyrgyzstan,Export,3/1/2021,1325.47986
Tajikistan,Export,6/1/2020,541.014483
Tajikistan,Export,7/1/2020,970.769817
Tajikistan,Export,8/1/2020,395.26995
Tajikistan,Export,9/1/2020,1307.012136
Tajikistan,Export,10/1/2020,1109.945707
Tajikistan,Export,11/1/2020,251.172271
Tajikistan,Export,12/1/2020,290.491778
Tajikistan,Export,1/1/2021,243.145547
Tajikistan,Export,2/1/2021,283.992078
Tajikistan,Export,3/1/2021,662.842345
Turkmenistan,Export,6/1/2020,520.895223
Turkmenistan,Export,7/1/2020,431.314032
Turkmenistan,Export,8/1/2020,514.018132
Turkmenistan,Export,9/1/2020,243.387235
Turkmenistan,Export,10/1/2020,263.905773
Turkmenistan,Export,11/1/2020,244.799134
Turkmenistan,Export,12/1/2020,188.252094
Turkmenistan,Export,1/1/2021,143.983357
Turkmenistan,Export,2/1/2021,140.876708
Turkmenistan,Export,3/1/2021,219.224876
Uzbekistan,Export,6/1/2020,2672.199647
Uzbekistan,Export,7/1/2020,4084.525051
Uzbekistan,Export,8/1/2020,3743.991052
Uzbekistan,Export,9/1/2020,3629.699937
Uzbekistan,Export,10/1/2020,3080.079006
Uzbekistan,Export,11/1/2020,3495.952908
Uzbekistan,Export,12/1/2020,3487.653606
Uzbekistan,Export,1/1/2021,2768.380886
Uzbekistan,Export,2/1/2021,2289.057587
Uzbekistan,Export,3/1/2021,3001.761831
Other,Export,6/1/2020,1.158896
Other,Export,7/1/2020,0
Other,Export,8/1/2020,0.562093
Other,Export,9/1/2020,0.499229
Other,Export,10/1/2020,0.000138
Other,Export,11/1/2020,0
Other,Export,12/1/2020,0.830744
Other,Export,1/1/2021,0.000163
Other,Export,2/1/2021,0.001004
Other,Export,3/1/2021,0.000386
Algeria,Export,6/1/2020,3222.592135
Algeria,Export,7/1/2020,3359.935133
Algeria,Export,8/1/2020,3891.702238
Algeria,Export,9/1/2020,3195.965612
Algeria,Export,10/1/2020,3857.376548
Algeria,Export,11/1/2020,3567.14989
Algeria,Export,12/1/2020,4148.681614
Algeria,Export,1/1/2021,3963.371938
Algeria,Export,2/1/2021,2164.506314
Algeria,Export,3/1/2021,2531.349479
Angola,Export,6/1/2020,1069.682368
Angola,Export,7/1/2020,1092.730586
Angola,Export,8/1/2020,967.374123
Angola,Export,9/1/2020,1342.23634
Angola,Export,10/1/2020,1106.309041
Angola,Export,11/1/2020,1248.250842
Angola,Export,12/1/2020,1512.790091
Angola,Export,1/1/2021,1027.224737
Angola,Export,2/1/2021,953.857711
Angola,Export,3/1/2021,976.968596
Benin,Export,6/1/2020,562.350962
Benin,Export,7/1/2020,642.178676
Benin,Export,8/1/2020,598.367004
Benin,Export,9/1/2020,751.848672
Benin,Export,10/1/2020,486.398436
Benin,Export,11/1/2020,593.229407
Benin,Export,12/1/2020,698.987496
Benin,Export,1/1/2021,759.372404
Benin,Export,2/1/2021,484.752841
Benin,Export,3/1/2021,474.709049
Botswana,Export,6/1/2020,138.060885
Botswana,Export,7/1/2020,137.881682
Botswana,Export,8/1/2020,162.349577
Botswana,Export,9/1/2020,132.476786
Botswana,Export,10/1/2020,137.669792
Botswana,Export,11/1/2020,145.321939
Botswana,Export,12/1/2020,189.066412
Botswana,Export,1/1/2021,194.415056
Botswana,Export,2/1/2021,112.436536
Botswana,Export,3/1/2021,143.445107
Burundi,Export,6/1/2020,40.240337
Burundi,Export,7/1/2020,55.891536
Burundi,Export,8/1/2020,51.69986
Burundi,Export,9/1/2020,36.109089
Burundi,Export,10/1/2020,41.224852
Burundi,Export,11/1/2020,75.832387
Burundi,Export,12/1/2020,65.473768
Burundi,Export,1/1/2021,84.607678
Burundi,Export,2/1/2021,43.93875
Burundi,Export,3/1/2021,35.20835
Cameroon,Export,6/1/2020,1457.838247
Cameroon,Export,7/1/2020,1323.759998
Cameroon,Export,8/1/2020,1185.60159
Cameroon,Export,9/1/2020,1410.486188
Cameroon,Export,10/1/2020,1083.944078
Cameroon,Export,11/1/2020,1275.077839
Cameroon,Export,12/1/2020,1629.643737
Cameroon,Export,1/1/2021,1389.935636
Cameroon,Export,2/1/2021,767.964525
Cameroon,Export,3/1/2021,905.945593
Canary Islands,Export,6/1/2020,0.885163
Canary Islands,Export,7/1/2020,0.614194
Canary Islands,Export,8/1/2020,0.510527
Canary Islands,Export,9/1/2020,0.492296
Canary Islands,Export,10/1/2020,1.33466
Canary Islands,Export,11/1/2020,1.087555
Canary Islands,Export,12/1/2020,1.513256
Canary Islands,Export,1/1/2021,0.604351
Canary Islands,Export,2/1/2021,1.03686
Canary Islands,Export,3/1/2021,0.571518
Cabo Verde,Export,6/1/2020,51.816694
Cabo Verde,Export,7/1/2020,48.437244
Cabo Verde,Export,8/1/2020,53.224766
Cabo Verde,Export,9/1/2020,49.119185
Cabo Verde,Export,10/1/2020,39.21281
Cabo Verde,Export,11/1/2020,30.090143
Cabo Verde,Export,12/1/2020,43.32185
Cabo Verde,Export,1/1/2021,35.147965
Cabo Verde,Export,2/1/2021,28.478277
Cabo Verde,Export,3/1/2021,28.784911
Republic of Central African,Export,6/1/2020,18.645312
